pv,delta,vega,spot
0.10718499305818803,0.02063899350852373,1.989051564177752,40.0
0.2903205683082484,0.04439051724850935,4.294423874778317,45.806451612903224
0.6462193955182111,0.08023446133350566,7.690089107890477,51.61290322580645
1.2448149041961984,0.12777502309635003,12.002205100977173,57.41935483870968
2.1490292623518616,0.18508790440875705,16.881813098967665,63.225806451612904
3.407716217788908,0.2493645723918665,21.90720400164048,69.03225806451613
5.052408101702049,0.3175405748809113,26.676423688750162,74.83870967741936
7.0972683250871755,0.38675816750523834,30.86775326394071,80.64516129032259
9.541157106437236,0.45463344610851947,34.26596268073482,86.45161290322581
12.370751989899675,0.5193605566209009,36.76229302996862,92.25806451612902
15.56392559669461,0.5797048646058343,38.33865693602482,98.06451612903226
19.092880662098757,0.6349333131976418,39.04505743258174,103.87096774193549
22.926788878691237,0.6847180477472808,38.97640851524966,109.67741935483872
27.033851531693504,0.729036544225594,38.25224633537546,115.48387096774194
31.382803270293525,0.768081126363659,37.00079961893682,121.29032258064517
35.943932813464734,0.8021835642677273,35.347602254763984,127.09677419354838
40.68971337421255,0.8317560005658048,33.40813871466151,132.90322580645162
45.59513497773625,0.8572470240139827,31.283728011987968,138.70967741935485
50.63782032278315,0.8791106174233946,29.059812341343747,144.51612903225805
55.79799150138785,0.8977854136594606,26.805904445006032,150.32258064516128
61.05834025024253,0.9136818313964044,24.57658697257119,156.1290322580645
66.40384122322538,0.9271749967529676,22.413103584543233,161.93548387096774
71.82153675219193,0.9386017502218252,20.345213060443275,167.74193548387098
77.3003128059702,0.9482604169567201,18.3930854475523,173.5483870967742
82.83067916803212,0.9564123487286403,16.56910212705619,179.35483870967744
88.40456191097452,0.9632845168629939,14.87948210644344,185.16129032258064
94.01511270651949,0.9690726485309298,13.325698833344397,190.96774193548387
99.65653705529745,0.9739445608141281,11.905679512484696,196.7741935483871
105.32394188026818,0.9780434668109284,10.614796017313914,202.58064516129033
111.01320188196291,0.9814911144497772,9.44666609339505,208.38709677419357
116.72084343170167,0.9843906793887229,8.393788047068766,214.19354838709677
122.44394445083176,0.9868293748714674,7.4480332886750515,220.0
