pv,delta,vega,spot
0.09916340670732211,0.0196815718842166,1.8888431101038536,40.0
0.27611723364672414,0.04285508004411067,4.133063126521647,45.806451612903224
0.6266836616793074,0.08020699181945742,7.626815726686654,51.61290322580645
1.2218426053949298,0.12720406548941782,11.887819808881764,57.41935483870968
2.122119721030016,0.18399112800606535,16.72449975500498,63.225806451612904
3.37422068469575,0.24830581429437454,21.736645933748093,69.03225806451613
5.01837026777985,0.3177809127575958,26.55210767152903,74.83870967741936
7.0671635593786855,0.38736189925472775,30.748692058728384,80.64516129032259
9.519923971313872,0.4569175688597641,34.168601213491414,86.45161290322581
12.358430086880698,0.5213041653381966,36.648724745646504,92.25806451612902
15.561741637210831,0.5811563755457255,38.224698511692594,98.06451612903226
19.09545907073764,0.6355728746645594,38.94407667106231,103.87096774193549
22.93391611637177,0.6850399718247486,38.88870745221845,109.67741935483872
27.0412139561488,0.7287032305883375,38.201910303524656,115.48387096774194
31.386989248460754,0.7677519517690949,36.94437612533674,121.29032258064517
35.94598196850805,0.8018409037629182,35.28935007450343,127.09677419354838
40.691148730210195,0.83180756152434,33.30037050865657,132.90322580645162
45.5957116447905,0.8571497724359944,31.190354157409583,138.70967741935485
50.63694390092406,0.8787967308148232,28.996916258273508,144.51612903225805
55.79640793790807,0.8979538362123937,26.651284266997134,150.32258064516128
61.057754206292515,0.9138210534947586,24.42226893065697,156.1290322580645
66.4029938762463,0.9269922637519674,22.3261954091628,161.93548387096774
71.81904567747222,0.9383998889596841,20.258656822777045,167.74193548387098
77.29724480943902,0.9482105518358214,18.262097924383546,173.5483870967742
82.82770137915055,0.9565843280501165,16.36663722245096,179.35483870967744
88.40215139944746,0.9633788385442226,14.695111109562799,185.16129032258064
94.01288048042028,0.9690159750836458,13.188465272855204,190.96774193548387
99.65401197601165,0.9738721903895289,11.770366866759275,196.7741935483871
105.32113919624481,0.9780267508932331,10.453131194371993,202.58064516129033
111.01061961570399,0.9816384227367244,9.209878374319539,208.38709677419357
116.71925175354563,0.9844984459364153,8.168994800614394,214.19354838709677
122.44302799766349,0.9869243565835762,7.223519123182743,220.0
